"Product saving is deactivated in magento, please use Goodscloud.","Speichern von Produkten ist deaktiviert. Bitte benutzen Sie GoodsCloud zum Editieren der Produkte."
"Category saving is deactivated in magento, please use Goodscloud.","Speichern von Kategorien ist deaktiviert. Bitte benutzen Sie GoodsCloud zum Editieren der Produkte."
"Attribute saving is deactivated in magento, please use Goodscloud.","Speichern von Attributen ist deaktiviert. Bitte benutzen Sie GoodsCloud zum Editieren der Produkte."
"Attribute set saving is deactivated in magento, please use Goodscloud.","Speichern von Attributensets ist deaktiviert. Bitte benutzen Sie GoodsCloud zum Editieren der Produkte."
"Magento Standard Sales Price List","Magento Standard Preisliste"
"Product attribute which contains the EAN","Produktattribute welches die EAN enthält"
"EAN Attribute","EAN Attribut"
"Shop Settings","Shop Einstellungen"
"plain","ohne Briefkopf"
"letterhead","mit Briefkopf"
